Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xd2bb,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb060,0,0
IPv6,1290,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7708,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x01f0,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x6bfe,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf9a2,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x1528,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xecd5,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xd14f,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xe025,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x730d,0,0
IPv6,99,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x403b,0,0
IPv6,822,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x430e,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x56a6,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xe945,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x23e4,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x2ea1,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3636,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x0a9b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf034,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x9a4d,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xcefc,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xffbc,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x338a,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xc1b6,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7189,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xa4ab,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xd584,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7992,0,0
IPv6,313,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x197e,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb176,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x52d3,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xe15a,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x97ae,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x6b03,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x4d9b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xdee7,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xad64,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xcc18,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xece9,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf4bc,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3818,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb54e,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x059a,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xc83a,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x78e0,0,0
IPv6,131,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xc299,0,0
IPv6,439,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x418f,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3d5c,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x31ac,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf7e5,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x83f9,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xfbf5,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x4cce,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x83b4,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x989b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x7009,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x1701,0,0
